,notice_date,region,type,reference
412,1999-11-29 08:48:06,SA,LRC,Actual LRC SA Region Monday 29 November 1999
101,1999-11-30 12:15:26,SA,LRC,Actual LRC SA Region Tuesday 30 November 1999
490,1999-12-07 09:12:51,SA,LOR2,"Actual LOR2 SA region Tue 7/12/99, 0658hr to 1230hr"
230,2000-01-09 17:45:54,SA,LOR2,Actual LOR2 SA region due to network outage 1741hr to 1830hr Sun 9/1/00
464,2000-02-03 13:26:08,SA,LOR3,Actual LOR3 for Victoria and South Australia Regions from 1213  3/2/00
155,2000-02-09 14:18:22,SA,LOR1,Actual LOR1 SA Region 1400 to 2030hr Wed 9/2/00
544,2000-02-09 14:23:38,NSW,LOR1,Actual LOR1 NSW Region 1430 to 1630hr Wed 9/2/00
681,2000-02-17 13:45:48,SA,LRC,ACTUAL LRC SA Region 17/2/2000
754,2000-02-17 13:47:10,SA,LOR1,ACTUAL LOR 1 SA Region  17/2/2000
828,2000-02-18 11:48:32,SA,LOR1,ACTUAL LOR1 SA Region  18/2/2000
1113,2000-02-18 14:56:10,SA,LOR2,ACTUAL LOR 2 SA Region 14:55hrs 18/2/2000
969,2000-02-19 10:42:31,SA,LRC,Actual LRC SA Region Saturday 19 February 2000.
899,2000-02-19 10:50:03,SA,LOR1,Actual LOR1 SA Region Saturday 19 February 2000.
1183,2000-02-21 07:55:00,SA,LOR1,Actual LOR1 SA Region 0800hr to 1030hr Mon 21/2/00
1041,2000-02-24 12:02:11,NSW,LOR1,Actual LOR1 NSW region 11:40hrs 24/2/00
755,2000-03-02 09:21:15,SA,LOR2,Actual LOR2 SA Region 0900h Thu 02/03/00.
682,2000-04-03 11:06:28,SA,LOR1,Actual LOR1 SA Region Monday 3 April 2000
829,2000-04-03 13:49:44,SA,LOR1,Actual LOR1 SA Region Monday 3 April 2000
1114,2000-04-04 07:52:42,SA,LOR2,Actual LOR2 SA Region Tuesday 4 April Transmission outage.
970,2000-04-04 08:54:43,SA,LOR2,Actual LOR2 in SA Region 5 to 11 April 2000
900,2000-04-05 18:41:47,SA,LOR2,Actual LOR2 SA Region Wednesday 5  April Transmission outage.
1184,2000-04-06 10:08:52,SA,LOR2,Actual LOR2 SA Region Thursday 6  April Transmission outage.
1042,2000-04-07 07:45:28,SA,LOR2,Actual LOR2 SA Region Friday 7  April Transmission outage.
756,2000-04-08 07:10:38,SA,LOR2,Actual LOR2 SA Region Saturday 8 April 2000
683,2000-04-09 07:16:31,SA,LOR2,Actual LOR2 SA Region Sunday 9 April 2000
830,2000-04-09 22:37:42,SA,LOR2,Actual LOR2 SA Region due to reclassification of VIC to SA Interconnection Sunday 9 April
1115,2000-04-10 07:14:41,SA,LOR2,Actual LOR2 SA Region Monday 10 April 2000
971,2000-04-10 21:52:01,SA,LOR2,Actual LOR2 SA Region following loss of Para-Tailem bend
901,2000-04-12 21:03:54,SA,LOR2,Actual LOR2 SA Region Wednesday- Thursday 12-13 April 2000
1185,2000-04-17 12:00:16,SA,LOR2,Actual LOR 2 SA Region 1200-1600hrs Monday 17 April 2000.
289,2000-05-15 12:42:04,SA,LOR2,Actual LOR2 SA Region Monday 15 May 2000.
211,2000-05-28 03:00:26,SA,LOR2,Actual LOR2 SA Region Sunday 28 May 2000
445,2000-06-08 21:48:00,SA,LOR2,Actual LOR2 SA Region Thursday 8 June Reclassification of VIC to SA Interconnection.
136,2000-06-11 15:24:28,SA,LOR2,Actual LOR2 SA Region Sunday 11 June 2000 Reclassification VIC SA Interconnection
525,2000-06-11 22:17:10,SA,LOR2,Actual LOR2 SA Region due to transmission element outage VIC SA Interconnector Sunday 11 June 2000
57,2000-06-21 03:49:10,SA,LOR2,Actual LOR2 SA Region Wednesday 21 June 2000 Reclassification VIC SA Interconnection
600,2000-06-21 12:10:38,SA,LOR2,Actual LOR2 SA Region Wed 21 June 2000 Reclassification VIC SA Interconnection
369,2000-06-21 15:44:58,SA,LOR2,Actual LOR2 SA Region Wed 21 June 2000 Reclassification VIC SA Interconnection
290,2000-06-21 21:18:07,SA,LOR2,Actual LOR2 SA Region 2105h Wed 21/06/00. Reclassification of VIC SA Interconnectors
212,2000-06-22 07:41:07,SA,LOR2,Actual LOR2 SA Region Thu 22 June 2000 Reclassification VIC SA Interconnection
446,2000-06-22 12:38:10,SA,LOR2,Actual LOR2 SA Region Thu 22 June 2000 Reclassification VIC SA Interconnection
137,2000-06-25 07:03:32,SA,LOR2,Actual LOR2 SA Region Sunday 25th June 2000 Transmission outage. 
526,2000-07-08 16:07:23,SA,LOR2,Actual LOR2 SA Region 1550h Sat 08/07/00. Reclassification loss of VIC-SA interconnection as credible contingency.
58,2000-07-19 00:37:06,SA,LOR2,Actual LOR2 SA Region due to reclassification of VIC SA Interconnection Wednesday 19 July 2000
601,2000-07-20 17:09:16,SA,LOR2,Actual LOR2 SA Region due to reclassification of VIC SA Interconnection as a single credible contingency.
370,2000-07-23 18:24:59,SA,LOR2,Actual LOR2 SA Region due to reclassification of VIC SA Interconnection as a single credible contingency.
291,2000-07-25 01:48:47,SA,LOR2,Actual LOR2 SA Region due to reclassification of VIC SA Interconnection as a single credible contingency.
787,2000-08-08 08:40:19,SA,LOR2,Actual LOR2 SA Region due to reclassification of VIC SA Interconnection Tuesday 8th August 2000
1074,2000-08-24 06:34:47,SA,LOR2,Actual LOR2 SA Region Thursday 24th August Transmission outage
350,2000-10-05 19:20:33,SA,LOR2,Actual LOR2 SA Region from 1905hrs Thursday 5th October 2000.
271,2000-12-08 05:10:12,SA,LOR2,"Actual LOR2 SA Region  0433hrs to 0457hrs  Friday 8 December, 2000"
194,2000-12-08 09:10:40,SA,LOR2,"Actual LOR2 SA Region  0847hrs to 0901hrs  Fri 8 Dec, 2000"
428,2000-12-11 15:47:52,SA,LOR2,"Actual LOR2 SA Region  1514hrs to approx 1630hrs  Monday 11 December, 2000"
1022,2001-01-04 21:32:12,SA,LOR2,"Actual LOR2 SA Region from 2120hr Thursday 4th January, 2001till further notice."
734,2001-01-05 00:25:31,SA,LOR2,"Actual LOR2 SA Region from 2120hr Thursday 4th January, 2001till further notice."
