duid,region,outage_date,expected_return,outage_type
ER03,NSW,2025-03-17 00:00:00,2025-03-27 00:00:00,Unplanned
GSTONE4,QLD,2025-03-15 00:00:00,2025-04-26 00:00:00,Unplanned
LYA1,VIC,2025-03-16 00:00:00,2025-03-30 00:00:00,Planned
TARONG#2,QLD,2025-03-19 00:00:00,2025-04-01 00:00:00,Planned
YWPS2,VIC,2025-03-20 00:00:00,2025-04-05 00:00:00,Planned
ER03,NSW,2025-03-22 00:00:00,2025-03-22 00:00:00,Planned
ER03,NSW,2025-03-23 00:00:00,2025-03-23 00:00:00,Planned
ER03,NSW,2025-03-24 00:00:00,2025-03-26 00:00:00,Planned
GSTONE2,QLD,2025-04-01 00:00:00,2025-04-01 00:00:00,Planned
GSTONE2,QLD,2025-04-02 00:00:00,2025-04-04 00:00:00,Planned
GSTONE2,QLD,2025-04-05 00:00:00,2025-04-05 00:00:00,Planned
GSTONE4,QLD,2025-03-23 00:00:00,2025-03-23 00:00:00,Planned
GSTONE4,QLD,2025-03-24 00:00:00,2025-03-31 00:00:00,Planned
GSTONE4,QLD,2025-04-01 00:00:00,2025-04-01 00:00:00,Planned
GSTONE4,QLD,2025-04-02 00:00:00,2025-04-04 00:00:00,Planned
GSTONE4,QLD,2025-04-05 00:00:00,2025-04-05 00:00:00,Planned
LOYYB1,VIC,2025-04-04 00:00:00,2025-04-04 00:00:00,Planned
LOYYB1,VIC,2025-04-05 00:00:00,2025-04-05 00:00:00,Planned
LYA1,VIC,2025-03-22 00:00:00,2025-03-22 00:00:00,Planned
LYA1,VIC,2025-03-23 00:00:00,2025-03-23 00:00:00,Planned
LYA1,VIC,2025-03-24 00:00:00,2025-03-29 00:00:00,Planned
MP1,NSW,2025-04-01 00:00:00,2025-04-03 00:00:00,Planned
MP1,NSW,2025-04-04 00:00:00,2025-04-04 00:00:00,Planned
MP1,NSW,2025-04-05 00:00:00,2025-04-05 00:00:00,Planned
MPP_2,QLD,2025-04-04 00:00:00,2025-04-05 00:00:00,Planned
TARONG#2,QLD,2025-03-23 00:00:00,2025-03-31 00:00:00,Planned
YWPS2,VIC,2025-03-22 00:00:00,2025-03-22 00:00:00,Planned
YWPS2,VIC,2025-03-23 00:00:00,2025-03-31 00:00:00,Planned
YWPS2,VIC,2025-04-01 00:00:00,2025-04-03 00:00:00,Planned
YWPS2,VIC,2025-04-04 00:00:00,2025-04-04 00:00:00,Planned
BW01,NSW,2025-03-05 00:05:00,2025-03-07 13:10:00,Planned
BW03,NSW,2025-03-05 16:20:00,2025-03-06 04:10:00,Planned
BW03,NSW,2025-03-17 09:10:00,2025-03-17 15:10:00,Planned
CPP_4,QLD,2025-03-05 00:05:00,2025-03-07 07:05:00,Planned
CPP_4,QLD,2025-03-15 16:10:00,2025-03-15 23:15:00,Planned
ER03,NSW,2025-03-05 00:05:00,2025-03-09 04:25:00,Unplanned
GSTONE2,QLD,2025-03-06 10:05:00,2025-03-06 10:10:00,Planned
GSTONE4,QLD,2025-03-13 23:25:00,2025-03-14 19:20:00,Planned
GSTONE5,QLD,2025-03-05 11:15:00,2025-03-15 19:00:00,Planned
STAN-1,QLD,2025-03-19 14:45:00,2025-03-19 19:55:00,Planned
STAN-4,QLD,2025-03-09 21:45:00,2025-03-10 00:40:00,Unplanned
YWPS3,VIC,2025-03-05 09:35:00,2025-03-10 22:45:00,Unclear
