DUID,REGION
LAVNORTH,VIC
ADPMH1,SA
DRYCGT1,SA
NINEWIL1,NSW
WINGF1_1,SA
WOOLGSF1,QLD
RT_VIC8,VIC
VPGS2,VIC
APD02,VIC
ASSSN1,SA
ASSEL1,SA
SNUG4,SA
HDWF1,SA
VSQHT1V1,QLD
NEWENSF1,NSW
TORRB1,SA
MACKNTSH,TAS
WW7,NSW
COLUMSF1,QLD
SWAN_A_3,QLD
AGLSITA1,NSW
BHBL1,NSW
LKBONNY1,SA
CG2,NSW
L_W_CNL1,TAS
LD03,NSW
STHJST,QLD
TOMAGO2,NSW
OAKEY1,QLD
PAREPS1,SA
WOLLERT1,VIC
VSNSN1V1,NSW
GLBWNHYD,NSW
STAN-1,QLD
MURR2-3,VIC
WANDSF1,QLD
SNUG1,SA
TORRB4,SA
BROOKLYN,VIC
VSSAE1V1,SA
SOMERSET,QLD
TUNGA_3,TAS
WAUBRAWF,VIC
BPLANDF1,QLD
KINCUM1,NSW
MEADOWB2,TAS
VSSSH1S1,SA
MRIDGE,QLD
CNUNDAWF,SA
MURR1-1,VIC
MMNL1,NSW
CBWWBA1L,SA
MURR1-2,VIC
WG01,NSW
TUMT3NL2,NSW
YENDWF1,VIC
ADPBA1G,SA
LYGS1,VIC
MUWAWF1,VIC
TUMUT3-3,NSW
TERALBA,NSW
FLYCRKWF,NSW
AMCORGR,SA
BALBG1,VIC
MARIAN,QLD
TUMUT3-4,SNOWY
VPGS5,VIC
KPP_1,QLD
COLWF01,NSW
ER02,NSW
TOMAGO1,NSW
OAKY2,QLD
WILLHOV1,VIC
CALLNL2,QLD
TBSF1,SA
W/HOE#1,QLD
HD1WF1,VIC
CAPBES1L,NSW
BRAEMAR6,QLD
ASNENC1,NSW
TARRALEA,TAS
CRWASF1,NSW
EILDON1,VIC
ASRMGE03,SA
CG1,NSW
URANQ13,NSW
MURAYNL1,SNOWY
RT_SA2,SA
SKSF1,NSW
STAN-4,QLD
TUMT3NL1,NSW
WW8,NSW
BARRON-1,QLD
JOUNAMA1,NSW
MERCER01,VIC
ASSENC1,SA
DRXVQP01,VIC
PIBESSG1,VIC
PPCCGT,SA
DG_NSW1,NSW
DEVILS_G,TAS
LI_WY_CA,TAS
BLOWERNG,NSW
MEADOWBK,TAS
