duid,outage_start,outage_end,current_status,mw_5min_prev,actual_mw,target_mw,max_ramp_rate,registeredcapacity,bidofferdate,bidsettlementdate,rebidexplanation,rebid_category,os_pasaavail,os_pasaunitstate,latest_pasaavail,latest_pasaunitstate,expected_return,latest_offer_datetime
BW02,2024-09-08 22:05:00,,ONGOING,157.70505,0.00000,152.69246,140,660.0000,2024-09-08 21:23:38,2024-09-08,010 Unexpected/plant limits~108 load/ramp variation during de-sync,P,685,NODERATINGS,0,OUTAGEPLANBASIC,2024-12-08,2024-07-04 09:33:41
CALL_B_1,2024-07-18 13:35:00,,ONGOING,91.80000,0.00000,90.00000,70,350.0000,2024-07-18 13:26:52,2024-07-18,Control System - Match Unit Output -SL,P,10,DERATINGPLANBASIC,0,OUTAGEPLANBASIC,2024-11-21,2024-10-14 11:01:13
CALL_B_2,2024-09-12 17:40:00,,ONGOING,66.90000,0.00000,65.00000,70,350.0000,2024-09-12 16:59:53,2024-09-12,Unit commitment-Rebid to match Scada-SL,P,70,DERATINGPLANBASIC,0,OUTAGEPLANBASIC,2024-10-20,2024-10-14 11:01:13
ER03,2024-08-25 13:50:00,,ONGOING,94.76463,0.00000,69.97635,20,720.0000,2024-08-25 13:44:40,2024-08-25,Change in avail -revised shutdown profile SL,P,0,OUTAGEPLANBASIC,0,OUTAGEPLANBASIC,2024-11-28,2024-10-04 15:02:32
GSTONE2,2024-10-14 20:20:00,,ONGOING,14.69727,0.00000,9.69727,57,280.0000,2024-10-14 20:04:17,2024-10-14,Unit commitment-Rebid to match Scada-SL,P,280,NODERATINGS,280,NODERATINGS,2024-10-20,2024-10-14 11:01:13
GSTONE6,2024-09-22 10:25:00,,ONGOING,16.65918,0.00000,11.65918,57,280.0000,2024-09-22 10:06:04,2024-09-22,Unit commitment-Rebid to match Scada-SL,P,280,NODERATINGS,280,NODERATINGS,2024-10-20,2024-10-14 11:01:13
LYA2,2024-10-10 21:00:00,,ONGOING,153.00000,0.00000,150.00000,108,530.0000,2024-10-10 16:34:17,2024-10-10,020 Reduction in avail cap~updated COS profile,P,530,NODERATINGS,530,NODERATINGS,2024-10-20,2024-10-11 12:01:38
LYA4,2024-09-30 10:05:00,,ONGOING,100.00000,0.00000,90.00000,116,560.0000,2024-09-30 07:39:09,2024-09-30,010 Unexpected/plant limits~108 load/ramp variation,P,0,OUTAGEPLANBASIC,0,OUTAGEPLANBASIC,2024-11-24,2024-10-07 12:12:42
TARONG#2,2024-09-13 10:40:00,,ONGOING,66.90000,0.70000,0.00000,77,350.0000,2024-09-13 09:47:48,2024-09-13,Revised Run Down-SL; ROC TI 0955-1030;,P,0,OUTAGEPLANBASIC,0,OUTAGEPLANBASIC,2024-11-29,2024-10-09 17:47:52
VP6,2024-09-25 20:40:00,,ONGOING,101.29704,0.00000,100.00000,25,660.0000,2024-09-25 20:12:59,2024-09-25,Unit taken out of service profile change SL,P,0,OUTAGEUNPLANFORCED,0,OUTAGEPLANBASIC,2024-11-25,2024-09-12 17:05:48
YWPS2,2024-10-10 08:00:00,,ONGOING,25.80506,0.00000,10.80506,79,360.0000,2024-10-10 05:27:33,2024-10-10,Adj bands - avoid short mill movement SL,,355,NODERATINGS,0,OUTAGEPLANBASIC,2024-10-20,2024-10-11 13:13:31
