type,brand,planId,fuelType,brandName,displayName,lastUpdated,customerType,effectiveFrom,distributors,effectiveTo
MARKET,1st-energy,1ST679788MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use,2023-11-05T14:05:33.027Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679786MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Single Rate + Controlled Load 2,2023-11-05T14:05:33.014Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679790MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use + Controlled Load 2,2023-11-05T14:05:32.871Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679784MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Single Rate,2023-11-05T14:05:32.837Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679785MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Single Rate + Controlled Load 1,2023-11-05T14:05:32.836Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679789MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use + Controlled Load 1,2023-11-05T14:05:32.834Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679787MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Single Rate + Controlled Load 1 & 2,2023-11-05T14:05:32.779Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Essential Energy Standard,
MARKET,1st-energy,1ST679783MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use + Controlled Load 2,2023-11-05T14:05:32.453Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Endeavour,
MARKET,1st-energy,1ST679774MRE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use,2023-11-05T14:05:31.409Z,RESIDENTIAL,2023-11-06T00:00:00.000Z,Ausgrid,
MARKET,1st-energy,1ST679762MBE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use + Controlled Load 2,2023-11-05T14:05:31.353Z,BUSINESS,2023-11-06T00:00:00.000Z,Endeavour,
MARKET,1st-energy,1ST679768MBE1@EME,ELECTRICITY,1st Energy,1st Saver - Time of Use + Controlled Load 1,2023-11-05T14:05:31.293Z,BUSINESS,2023-11-06T00:00:00.000Z,Essential Energy Standard,
