planId,distributor,brandName,displayName,planType,effectiveFrom,effectiveTo,dmoPrice,annualUsage,supplyCharge,demandCharge,estimatedCharge,differenceDmoPrice
ACT670962MRE1@EME,Endeavour,ActewAGL,Simple Saver,MARKET,2023-11-04 00:00:00+00:00,2024-06-30 00:00:00+00:00,2228.0,4913,362.34,1298.417466,1660.757466,-567.242534
ACT657786MRE1@EME,Endeavour,ActewAGL,Solar Saver 5% - single rate,MARKET,2023-09-05 00:00:00+00:00,2024-06-30 00:00:00+00:00,2228.0,4913,376.98,1547.595,1924.575,-303.42499999999995
ACT345580MRE5@EME,Endeavour,ActewAGL,Battery Saver,MARKET,2023-07-04 00:00:00+00:00,2024-06-30 00:00:00+00:00,2228.0,4913,409.92,1615.1192720000001,2025.0392720000002,-202.9607279999998
ACT64408SRE6@EME,Endeavour,ActewAGL,Home plan,STANDING,2023-07-01 00:00:00+00:00,2024-06-30 00:00:00+00:00,2228.0,4913,409.92,1615.1192720000001,2025.0392720000002,-202.9607279999998
ALI683091MRE2@EME,Energex,Alinta Energy,BetterDeal - Single Rate,MARKET,2023-12-01 00:00:00+00:00,,1969.0,4613,419.802,1370.061,1789.8629999999998,-179.13700000000017
ALI641911MRE1@EME,Energex,Alinta Energy,Carbon Balance - Single Rate,MARKET,2023-08-01 00:00:00+00:00,,1969.0,4613,394.62119999999993,1460.9371,1855.5583000000001,-113.44169999999986
ALI476183MRE3@EME,Energex,Alinta Energy,Priority Plus - Single Rate,MARKET,2023-07-01 00:00:00+00:00,,1969.0,4613,382.0308,1246.8939,1628.9247,-340.07529999999997
ALI463761MRE4@EME,Energex,Alinta Energy,HomeDeal - Single Rate,MARKET,2023-07-01 00:00:00+00:00,,1969.0,4613,394.62119999999993,1287.9496,1682.5708,-286.42920000000004
ALI13181SRE14@EME,Energex,Alinta Energy,Standing Offer (SR),STANDING,2023-07-01 00:00:00+00:00,,1969.0,4613,419.802,1370.061,1789.8629999999998,-179.13700000000017
AMB706114MRE1@EME,SA Power Networks,Amber ,CommBank Homeowner: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,347.6268,1190.7054600000001,1538.3322600000001,-740.6677399999999
AMB706102MRE1@EME,SA Power Networks,Amber ,CommBank Everyday Plus: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,347.6268,1190.7054600000001,1538.3322600000001,-740.6677399999999
AMB706110MRE1@EME,Endeavour,Amber ,CommBank Homeowner: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,303.414,1191.8938,1495.3078,-732.6922
AMB706078MRE1@EME,SA Power Networks,Amber ,CommBank: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,347.6268,1190.7054600000001,1538.3322600000001,-740.6677399999999
AMB706090MRE1@EME,SA Power Networks,Amber ,CommBank Everyday: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,347.6268,1190.7054600000001,1538.3322600000001,-740.6677399999999
AMB706066MRE1@EME,SA Power Networks,Amber ,Amber Plan: Variable Wholesale Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,347.6268,1190.7054600000001,1538.3322600000001,-740.6677399999999
AMB706097MRE1@EME,Ausgrid,Amber ,CommBank Everyday Plus: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1827.0,3911,273.8046,960.50249,1234.30709,-592.69291
AMB706109MRE1@EME,Ausgrid,Amber ,CommBank Homeowner: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1827.0,3911,273.8046,960.50249,1234.30709,-592.69291
AMB706073MRE1@EME,Ausgrid,Amber ,CommBank: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1827.0,3911,273.8046,960.50249,1234.30709,-592.69291
AMB706085MRE1@EME,Ausgrid,Amber ,CommBank Everyday: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1827.0,3911,273.8046,960.50249,1234.30709,-592.69291
AMB706098MRE1@EME,Endeavour,Amber ,CommBank Everyday Plus: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,303.414,1191.8938,1495.3078,-732.6922
AMB706074MRE1@EME,Endeavour,Amber ,CommBank: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,303.414,1191.8938,1495.3078,-732.6922
AMB706086MRE1@EME,Endeavour,Amber ,CommBank Everyday: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,303.414,1191.8938,1495.3078,-732.6922
AMB706075MRE1@EME,Energex,Amber ,CommBank: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,359.33880000000005,1086.59215,1445.93095,-523.0690500000001
AMB706087MRE1@EME,Energex,Amber ,CommBank Everyday: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,359.33880000000005,1086.59215,1445.93095,-523.0690500000001
AMB706063MRE1@EME,Energex,Amber ,Amber Plan: Variable Wholesale Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,359.33880000000005,1086.59215,1445.93095,-523.0690500000001
AMB706099MRE1@EME,Energex,Amber ,CommBank Everyday Plus: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,359.33880000000005,1086.59215,1445.93095,-523.0690500000001
AMB706111MRE1@EME,Energex,Amber ,CommBank Homeowner: Variable Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,359.33880000000005,1086.59215,1445.93095,-523.0690500000001
AMB706061MRE1@EME,Ausgrid,Amber ,Amber Plan: Variable Wholesale Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,1827.0,3911,273.8046,960.50249,1234.30709,-592.69291
AMB706062MRE1@EME,Endeavour,Amber ,Amber Plan: Variable Wholesale Prices (estimate only),MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,303.414,1191.8938,1495.3078,-732.6922
AMB698628MRE1@EME,Ausgrid,Amber ,CommBank,MARKET,2024-01-02 00:00:00+00:00,,1827.0,3911,273.8046,1495.5065617,1769.3111617,-57.68883830000004
AMB698629MRE1@EME,Endeavour,Amber ,CommBank,MARKET,2024-01-02 00:00:00+00:00,,2228.0,4913,303.414,1861.63857822,2165.05257822,-62.947421779999786
AMB698645MRE1@EME,SA Power Networks,Amber ,CommBank Everyday Plus Offer,MARKET,2024-01-02 00:00:00+00:00,,2279.0,4011,347.6268,1853.84284659,2201.4696465899997,-77.53035341000032
AMB698651MRE1@EME,SA Power Networks,Amber ,CommBank Homeowner Offer,MARKET,2024-01-02 00:00:00+00:00,,2279.0,4011,347.6268,1853.84284659,2201.4696465899997,-77.53035341000032
AMB698646MRE1@EME,Ausgrid,Amber ,CommBank Homeowner Offer,MARKET,2024-01-02 00:00:00+00:00,,1827.0,3911,273.8046,1495.5065617,1769.3111617,-57.68883830000004
AMB698648MRE1@EME,Energex,Amber ,CommBank Homeowner Offer,MARKET,2024-01-02 00:00:00+00:00,,1969.0,4613,359.33880000000005,1628.7419867599997,1988.0807867599997,19.080786759999683
AMB698601MRE1@EME,Energex,Amber ,Amber Plan TOU,MARKET,2024-01-02 00:00:00+00:00,,1969.0,4613,352.7508,1628.7419867599997,1981.4927867599997,12.492786759999717
AMB698647MRE1@EME,Endeavour,Amber ,CommBank Homeowner Offer,MARKET,2024-01-02 00:00:00+00:00,,2228.0,4913,303.414,1861.63857822,2165.05257822,-62.947421779999786
AMB698582MRE1@EME,Energex,Amber ,Amber Plan,MARKET,2024-01-02 00:00:00+00:00,,1969.0,4613,359.33880000000005,1628.7419867599997,1988.0807867599997,19.080786759999683
AMB698640MRE1@EME,Ausgrid,Amber ,CommBank Everyday Plus Offer,MARKET,2024-01-02 00:00:00+00:00,,1827.0,3911,273.8046,1495.5065617,1769.3111617,-57.68883830000004
AMB698600MRE1@EME,Ausgrid,Amber ,Amber Plan TOU,MARKET,2024-01-02 00:00:00+00:00,,1827.0,3911,327.0942,1495.5065617,1822.6007617,-4.399238299999979
AMB698639MRE1@EME,SA Power Networks,Amber ,CommBank Everyday Offer,MARKET,2024-01-02 00:00:00+00:00,,2279.0,4011,347.6268,1853.84284659,2201.4696465899997,-77.53035341000032
AMB698585MRE1@EME,SA Power Networks,Amber ,Amber Plan,MARKET,2024-01-02 00:00:00+00:00,,2279.0,4011,347.6268,1853.84284659,2201.4696465899997,-77.53035341000032
AMB698633MRE1@EME,SA Power Networks,Amber ,CommBank,MARKET,2024-01-02 00:00:00+00:00,,2279.0,4011,347.6268,1853.84284659,2201.4696465899997,-77.53035341000032
AMB698580MRE1@EME,Ausgrid,Amber ,Amber Plan,MARKET,2024-01-02 00:00:00+00:00,,1827.0,3911,273.8046,1495.5065617,1769.3111617,-57.68883830000004
AMB698634MRE1@EME,Ausgrid,Amber ,CommBank Everyday Offer,MARKET,2024-01-02 00:00:00+00:00,,1827.0,3911,273.8046,1495.5065617,1769.3111617,-57.68883830000004
AMB698630MRE1@EME,Energex,Amber ,CommBank,MARKET,2024-01-02 00:00:00+00:00,,1969.0,4613,359.33880000000005,1628.7419867599997,1988.0807867599997,19.080786759999683
AMB698635MRE1@EME,Endeavour,Amber ,CommBank Everyday Offer,MARKET,2024-01-02 00:00:00+00:00,,2228.0,4913,303.414,1861.63857822,2165.05257822,-62.947421779999786
AMB698636MRE1@EME,Energex,Amber ,CommBank Everyday Offer,MARKET,2024-01-02 00:00:00+00:00,,1969.0,4613,359.33880000000005,1628.7419867599997,1988.0807867599997,19.080786759999683
AMB698642MRE1@EME,Energex,Amber ,CommBank Everyday Plus Offer,MARKET,2024-01-02 00:00:00+00:00,,1969.0,4613,359.33880000000005,1628.7419867599997,1988.0807867599997,19.080786759999683
AMB698581MRE1@EME,Endeavour,Amber ,Amber Plan,MARKET,2024-01-02 00:00:00+00:00,,2228.0,4913,303.414,1861.63857822,2165.05257822,-62.947421779999786
AMB698641MRE1@EME,Endeavour,Amber ,CommBank Everyday Plus Offer,MARKET,2024-01-02 00:00:00+00:00,,2228.0,4913,303.414,1861.63857822,2165.05257822,-62.947421779999786
AMB665242SRE1@EME,Energex,Amber ,Standing Offer: Fixed Rate,STANDING,2023-09-15 00:00:00+00:00,,1969.0,4613,567.1902,1224.6241812,1791.8143812,-177.18561879999993
AMB611134SRE1@EME,Endeavour,Amber ,Standing Offer: Fixed Rate,STANDING,2023-07-01 00:00:00+00:00,,2228.0,4913,303.414,1515.5892614999998,1819.0032614999998,-408.9967385000002
AMB611138SRE1@EME,SA Power Networks,Amber ,Standing Offer: Fixed Rate,STANDING,2023-07-01 00:00:00+00:00,,2279.0,4011,347.6268,1517.8771146,1865.5039146,-413.4960854000001
AMB611133SRE1@EME,Ausgrid,Amber ,Standing Offer: Fixed Rate,STANDING,2023-07-01 00:00:00+00:00,,1827.0,3911,273.8046,1180.5830641999999,1454.3876641999998,-372.6123358000002
AMP522155MRE15@EME,Energex,Ampol Energy,Ampol Energy Powering On,MARKET,2023-12-21 00:00:00+00:00,,1969.0,4613,397.11,1079.442,1476.5520000000001,-492.44799999999987
CIR353462SRE4@EME,SA Power Networks,Circular Energy,SAPN Zero Member Fee Anytime,STANDING,2023-07-20 00:00:00+00:00,,2279.0,4011,402.6,1531.4800200000002,1934.0800200000003,-344.91997999999967
COV678955MRE1@EME,Ausgrid,CovaU,Freedom Residential Single Rate,MARKET,2023-11-01 00:00:00+00:00,,1827.0,3911,292.8732,1261.2975000000001,1554.1707000000001,-272.8292999999999
COV678956MRE1@EME,Endeavour,CovaU,Freedom Residential Single Rate,MARKET,2023-11-01 00:00:00+00:00,,2228.0,4913,285.48,1655.681,1941.161,-286.83899999999994
COV639781MRE1@EME,Energex,CovaU,Freedom Residential Single,MARKET,2023-08-01 00:00:00+00:00,,1969.0,4613,401.5752,1337.77,1739.3452,-229.65480000000002
COV525813SRE2@EME,Endeavour,CovaU,CovaU Basics Residential Single,STANDING,2023-07-01 00:00:00+00:00,,2228.0,4913,329.034,1685.1589999999999,2014.1929999999998,-213.80700000000024
COV525808SRE2@EME,Ausgrid,CovaU,CovaU Basics Residential Single,STANDING,2023-07-01 00:00:00+00:00,,1827.0,3911,292.983,1321.1358,1614.1188,-212.88120000000004
COV525764SRE2@EME,Energex,CovaU,CovaU Basics Residential Single,STANDING,2023-07-01 00:00:00+00:00,,1969.0,4613,420.8268,1351.1477,1771.9745,-197.02549999999997
